title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
Más: 20 Aniversario;Alejandro Sanz;View 45 tracks;2017-05-18T00:00:00.000Z;Album · 2017;82;1;https://soundcloud.com/alejandro-sanz-official/sets/mas-20-aniversario;
Grandes exitos 1991-2004 (Edición especial);Alejandro Sanz;View 43 tracks;2004-09-23T00:00:00.000Z;Album · 2004;47;2;https://soundcloud.com/alejandro-sanz-official/sets/grandes-exitos-1991-2004-1;
Grandes exitos 1997-2004;Alejandro Sanz;View 15 tracks;2004-09-23T00:00:00.000Z;Album · 2004;17;Repost;https://soundcloud.com/alejandro-sanz-official/sets/grandes-exitos-1997-2004;
Sirope;Alejandro Sanz;View 13 tracks;2015-05-04T00:00:00.000Z;Album · 2015;12;1;https://soundcloud.com/alejandro-sanz-official/sets/sirope-2;
Coleccion definitiva (Deluxe);Alejandro Sanz;View 52 tracks;2011-10-19T00:00:00.000Z;Album · 2011;8;Repost;https://soundcloud.com/alejandro-sanz-official/sets/coleccion-definitiva-deluxe;
Sanz;Alejandro Sanz;View 10 tracks;2021-12-09T00:00:00.000Z;Album · 2021;16;1;https://soundcloud.com/alejandro-sanz-official/sets/sanz-372023924;
Más;Alejandro Sanz;View 13 tracks;1997-09-26T00:00:00.000Z;Album · 1997;13;1;https://soundcloud.com/alejandro-sanz-official/sets/mas-edicion-2006;
MTV Unplugged;Alejandro Sanz;View 13 tracks;2001-11-19T00:00:00.000Z;Album · 2001;35;1;https://soundcloud.com/alejandro-sanz-official/sets/mtv-unplugged-5;
#LAGIRA de #ELDISCO;Alejandro Sanz;View 24 tracks;2019-12-06T00:00:00.000Z;Album · 2019;24;Repost;https://soundcloud.com/alejandro-sanz-official/sets/lagira-de-eldisco;
Viviendo deprisa;Alejandro Sanz;View 13 tracks;1991-08-20T00:00:00.000Z;Album · 1991;14;Repost;https://soundcloud.com/alejandro-sanz-official/sets/viviendo-deprisa-edicion-2006;
El tren de los momentos (Deluxe);Alejandro Sanz;View 11 tracks;2006-11-07T00:00:00.000Z;Album · 2006;7;1;https://soundcloud.com/alejandro-sanz-official/sets/el-tren-de-los-momentos;
Grandes exitos 1991-2004 (Deluxe edition);Alejandro Sanz;View 29 tracks;2004-09-23T00:00:00.000Z;Album · 2004;43;2;https://soundcloud.com/alejandro-sanz-official/sets/grandes-exitos-1991-2004;
Más;Alejandro Sanz;View 10 tracks;1997-08-28T00:00:00.000Z;Album · 1997;16;1;https://soundcloud.com/alejandro-sanz-official/sets/mas-29;
Correcaminos EP;Alejandro Sanz;none;2023-03-23T00:00:00.000Z;Single · 2023;4;Repost;https://soundcloud.com/alejandro-sanz-official/sets/correcaminos-ep;
Alejandro Sanz 3;Alejandro Sanz;View 14 tracks;1995-09-26T00:00:00.000Z;Album · 1995;12;1;https://soundcloud.com/alejandro-sanz-official/sets/alejandro-sanz-3-edicion-2006;
La Música No Se Toca;Alejandro Sanz;View 13 tracks;2012-01-01T00:00:00.000Z;Album · 2012;10;Repost;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-4;
Paraiso Express;Alejandro Sanz;View 12 tracks;2009-11-10T00:00:00.000Z;Album · 2009;6;Repost;https://soundcloud.com/alejandro-sanz-official/sets/paraiso-express-2;
Paraiso Express;Alejandro Sanz;View 11 tracks;2009-11-10T00:00:00.000Z;Album · 2009;4;Repost;https://soundcloud.com/alejandro-sanz-official/sets/paraiso-express-3;
La Música No Se Toca (Deluxe);Alejandro Sanz;View 17 tracks;2012-01-01T00:00:00.000Z;Album · 2012;21;2;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-5;
La Música No Se Toca;Alejandro Sanz;View 13 tracks;2012-01-01T00:00:00.000Z;Album · 2012;6;Repost;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-7;
El tren de los momentos - En vivo desde Buenos Aires (DMD Audio only);Alejandro Sanz;View 10 tracks;2007-10-02T00:00:00.000Z;Album · 2007;9;Repost;https://soundcloud.com/alejandro-sanz-official/sets/el-tren-de-los-momentos-en;
Remezclas EP;Alejandro Sanz;none;2009-07-07T00:00:00.000Z;Single · 2009;1;Repost;https://soundcloud.com/alejandro-sanz-official/sets/remezclas-ep;
La Música No Se Toca;Alejandro Sanz;View 16 tracks;2012-01-01T00:00:00.000Z;Album · 2012;8;Repost;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-3;
El tren de los momentos (Edición Especial);Alejandro Sanz;View 14 tracks;2007-09-17T00:00:00.000Z;Album · 2007;2;Repost;https://soundcloud.com/alejandro-sanz-official/sets/el-tren-de-los-momentos-2;
La Música No Se Toca;Alejandro Sanz;View 14 tracks;2012-01-01T00:00:00.000Z;Album · 2012;4;Repost;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-6;
La Música No Se Toca (Deluxe);Alejandro Sanz;View 17 tracks;2012-01-01T00:00:00.000Z;Album · 2012;17;1;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-2;
Paraiso Express Edicion Especial Gira;Alejandro Sanz;View 20 tracks;2009-11-10T00:00:00.000Z;Album · 2009;14;Repost;https://soundcloud.com/alejandro-sanz-official/sets/paraiso-express-edicion;
La Música No Se Toca En Vivo;Alejandro Sanz;View 6 tracks;2013-01-01T00:00:00.000Z;Album · 2013;8;1;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-en-vivo-1;
La Música No Se Toca (Versão Portuguesa);Alejandro Sanz;View 15 tracks;2012-01-01T00:00:00.000Z;Album · 2012;14;1;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-1;
Paraiso Express;Alejandro Sanz;View 11 tracks;2009-11-10T00:00:00.000Z;Album · 2009;2;Repost;https://soundcloud.com/alejandro-sanz-official/sets/paraiso-express-1;
La Música No Se Toca En Vivo;Alejandro Sanz;none;2013-01-01T00:00:00.000Z;Album · 2013;10;1;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-en-vivo;
Grandes exitos 1991-1996;Alejandro Sanz;View 15 tracks;2004-09-23T00:00:00.000Z;Album · 2004;6;Repost;https://soundcloud.com/alejandro-sanz-official/sets/grandes-exitos-1991-1996;
Ay Haiti!;Alejandro Sanz;none;2010-04-20T00:00:00.000Z;Album · 2010;5;Repost;https://soundcloud.com/alejandro-sanz-official/sets/ay-haiti-1;
Te lo agradezco, pero no (feat. Shakira) [Remixes];Alejandro Sanz;none;2007-03-06T00:00:00.000Z;Single · 2007;4;Repost;https://soundcloud.com/alejandro-sanz-official/sets/te-lo-agradezco-pero-no-feat;
Basico;Alejandro Sanz;View 10 tracks;1994-11-18T00:00:00.000Z;Album · 1994;7;Repost;https://soundcloud.com/alejandro-sanz-official/sets/basico-4;
Sirope;Alejandro Sanz;View 14 tracks;2015-08-25T00:00:00.000Z;Album · 2015;9;1;https://soundcloud.com/alejandro-sanz-official/sets/sirope-3;
Sirope Vivo;Alejandro Sanz;View 24 tracks;2015-11-27T00:00:00.000Z;Album · 2015;15;Repost;https://soundcloud.com/alejandro-sanz-official/sets/sirope-vivo;
Si tu me miras;Alejandro Sanz;View 13 tracks;1993-09-26T00:00:00.000Z;Album · 1993;17;Repost;https://soundcloud.com/alejandro-sanz-official/sets/si-tu-me-miras-edicion-2006;
El alma al aire;Alejandro Sanz;View 13 tracks;2000-09-26T00:00:00.000Z;Album · 2000;26;1;https://soundcloud.com/alejandro-sanz-official/sets/el-alma-al-aire-edicion-2006;
Sirope Vivo;Alejandro Sanz;View 25 tracks;2016-01-08T00:00:00.000Z;Album · 2016;35;5;https://soundcloud.com/alejandro-sanz-official/sets/sirope-vivo-1;
+ Es + (El Concierto / En Directo En El Estadio Vicente Calderón / 2017);Alejandro Sanz;View 13 tracks;2017-12-08T00:00:00.000Z;Album · 2017;26;Repost;https://soundcloud.com/alejandro-sanz-official/sets/es-23;
#ELDISCO;Alejandro Sanz;View 10 tracks;2019-04-05T00:00:00.000Z;Album · 2019;35;Repost;https://soundcloud.com/alejandro-sanz-official/sets/eldisco-1;
Si Tu Me Miras;Alejandro Sanz;View 10 tracks;1993-05-14T00:00:00.000Z;Album · 1993;7;Repost;https://soundcloud.com/alejandro-sanz-official/sets/si-tu-me-miras-1;
La Música No Se Toca En Vivo;Alejandro Sanz;View 14 tracks;2013-01-01T00:00:00.000Z;Album · 2013;20;3;https://soundcloud.com/alejandro-sanz-official/sets/la-musica-no-se-toca-en-vivo-2;
El Alma Al Aire: 20 Aniversario;Alejandro Sanz;View 25 tracks;2000-09-26T00:00:00.000Z;Album · 2000;3;Repost;https://soundcloud.com/alejandro-sanz-official/sets/el-alma-al-aire-20-aniversario;
