title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
The Complete Studio Albums (1970 - 1990);ZZTopMusic;View 100 tracks;2013-06-07T00:00:00.000Z;Album · 2013;17;Repost;https://soundcloud.com/zztopmusic/sets/the-complete-studio-albums-1;
Salsoul Remixed - Ultra Records - Top 100 Albums on iTunes Dance Chart/All 4 Songs Top 100 on Traxsource and Beatport House Charts;WhiteNoize;none;2013-02-05T16:49:36.000Z;EP · 2013;96;10;https://soundcloud.com/whitenoize/sets/salsoul-remixed-ultra-records;
TOP 10 tracks compiled by Nikko - 2017;Music All Today;View 7 tracks;2017-09-26T11:59:15.000Z;Album · 2017;22;7;https://soundcloud.com/musikall-today/sets/the-best-compilations-2017-dj-nikko-musikall-today;
Chuck Berry 4 Classic Albums: Rockin' at the Hops/Berry Is on Top/One Dozen Berrys/After School Session;Chuck Berry;View 48 tracks;2016-04-01T00:00:00.000Z;Album · 2016;4;Repost;https://soundcloud.com/chuck-berry-official/sets/chuck-berry-4-classic-albums;
Four Classic Albums (Whims of Chambers / Paul Chambers Quintet / Bass on Top / Go) (Digitally Remastered);Paul Chambers;View 25 tracks;2018-11-02T00:00:00.000Z;Album · 2018;Like;Repost;https://soundcloud.com/paul-chambers-official/sets/four-classic-albums-whims-of;
top albums;pastory joseph;none;2018-08-04T12:29:33.000Z;Album · 2017;Like;Repost;https://soundcloud.com/pastory-joseph/sets/top-albums;
TOP TRACKS;Liquid Blue;View 14 tracks;2020-04-13T20:25:37.000Z;Album · 2016;Like;Repost;https://soundcloud.com/liquidblueband/sets/top-tracks;
Kristian's EP;K.Oh!;none;2015-06-24T17:29:23.000Z;EP · 2015;12;2;https://soundcloud.com/bearpacificwest/sets/kristians-ep;
Podcasts TOP 30 by Nikko;Music All Today;View 30 tracks;2018-03-30T08:45:50.000Z;Album · 2022;16;2;https://soundcloud.com/musikall-today/sets/the-best-of-musikall-today-by;
Roody Roodboy - Tou 9 (Album 2023);Juoolest Prod;none;2023-08-19T06:43:50.000Z;Album · 2023;495;14;https://soundcloud.com/user-40677493-650606302/sets/roody-roodboy-dous-pou-dous-album-2023;
Chris Brown - 11 : 11 (Album);New Hip Hop Daily;View 23 tracks;2017-01-02T02:31:37.000Z;Album · 2023;28.5K;1,329;https://soundcloud.com/newhiphopdailyradio/sets/chris-brown;
#RoodyRoodboy - TOU9 (album2023);Fk Distribution Music;View 23 tracks;2023-07-13T06:57:40.000Z;Album · 2023;116;3;https://soundcloud.com/fkdistributionmusic/sets/roodyroodboy-tou9;
BookTok: The Album;Bryce Savage;View 23 tracks;2023-07-06T06:10:49.000Z;Album · 2023;553;20;https://soundcloud.com/brycesavage/sets/booktok-the-album;
Harmonik - Album Let's Go;Top Mizikal;View 14 tracks;2022-01-31T06:28:07.000Z;Album · 2012;74;7;https://soundcloud.com/topmizikal/sets/harmonik-album-lets-go;
(hart Adderall) Album 2;Yung Addy pop2addys;View 13 tracks;2022-07-22T14:49:26.000Z;EP · 2022;5;4;https://soundcloud.com/hart444/sets/kaitin-gay-hart-stopped;
(hart Adderall) Album 1;Yung Addy pop2addys;View 10 tracks;2022-04-05T16:10:39.000Z;EP · 2022;13;6;https://soundcloud.com/hart444/sets/hart-be4t;
Album Pop Sunda Darso "Cang Cing Cong";Bandung Music Official;View 10 tracks;2018-03-01T17:16:24.000Z;Album · 2008;554;29;https://soundcloud.com/bandungmusicofficial/sets/album-pop-sunda-darso-cang;
Mozzy - 1UpTopAhk Album (EP 2017);GetDoughSpacely;View 16 tracks;2017-08-22T19:46:38.000Z;Album · 2017;3,382;98;https://soundcloud.com/spacelyfrmdawest/sets/mozzy-1uptopahk-album-ep-2017;
Boom Bap Beats Vol.#1 [Rap Instrumental / Hip Hop Beats] - [BeatTape / Full Album];BeathausBeats;View 10 tracks;2018-12-25T22:40:10.000Z;Album · 2018;237;10;https://soundcloud.com/beathausbeats/sets/boom-bap-instrumentals-vol1-rap-instrumental-hip-hop-beats-beattape-full-album;
OIL OF EVERY PEARL'S UN-INSIDES NON-STOP REMIX ALBUM;SOPHIE;View 25 tracks;2019-09-06T00:00:00.000Z;Album · 2019;46;Repost;https://soundcloud.com/msmsmsm/sets/oil-of-every-pearls-un-2;
Harmonick - Album DIFERAN;Top Mizikal;View 13 tracks;2022-01-31T11:04:07.000Z;Album · 2013;24;5;https://soundcloud.com/topmizikal/sets/harmonick-album-diferan;
Nowy Pop + Nowy Rap EP;ALBUMS;View 18 tracks;2021-06-13T11:53:36.000Z;Album · 2018;19;Repost;https://soundcloud.com/user-5404513613/sets/nowy-pop;
Freeman HKDBoss - Top Striker Album PlayList;FreemanHKDBoss TopStriker Album Playlist;View 16 tracks;2017-06-22T02:13:50.000Z;Album · 2017;152;29;https://soundcloud.com/jacaranda-hkdboss/sets/freeman-hkdboss-top-striker-album-playlist;
Pop Smoke - Shoot For The Stars, Aim For The Moon [2020 ALBUM] [EXTENDED];The Wave Cache;View 34 tracks;2017-10-07T04:10:31.000Z;Album · 2020;985;50;https://soundcloud.com/thewavecache/sets/pop-smoke-shoot-for-the-stars;
Tommy Martini - Non Stop Fever (FULL ALBUM);SIC RECORDS;View 8 tracks;2023-10-20T16:55:16.000Z;Album · 2023;14;4;https://soundcloud.com/sicrecords111/sets/tommy-martini-non-stop-fever-full-album;
NELI - SINCER 2 (ALBUM);THOTH: The Hip Or The Hop;View 23 tracks;2016-12-14T00:47:53.000Z;Album · 2016;340;31;https://soundcloud.com/thothsound/sets/neli-sincer-2-album;
Nguyễn Hải Yến - Top Hit Làn Sóng Xanh 90-2000 Vol. 3 (Album);All Vpop ✪ Nhạc Việt Nam mới nhất;View 8 tracks;2017-10-01T16:08:48.000Z;Album · 2017;103;9;https://soundcloud.com/user-72584552/sets/nguyen-hai-yen-top-hit-lan-song-xanh-90-2000-vol-3-album;
Naice Zulu & BC - É Confidencial [Álbum];Hip Hop Game;View 10 tracks;2019-09-26T18:35:12.000Z;Album · 2019;423;24;https://soundcloud.com/hiphopgame/sets/naice-zulu-bc-e-confidencial-album;
[1980-1990 J-pop Favorites] Toshiki Kadomatsu - Sea Is a Lady (full album);Glyde Loathe VHS-85;View 18 tracks;2017-04-03T10:17:06.000Z;EP · 1987;468;29;https://soundcloud.com/avianlover1985/sets/1980-1990-j-pop-favorites-toshiki-kadomatsu-sea-is-a-lady-full-album;
A Boogie Wit Da Hoodie - Hoodie SZN [ full album ];Hip-Hop;View 25 tracks;2018-12-13T14:08:07.000Z;Album · 2018;353;10;https://soundcloud.com/ckhid/sets/a-boogie-wit-da-hoodie-hoodie;
El Nino - Dragoste Si Pasiune Pentru Muzica (Album Oficial 2019);HipHopDinRomania;View 29 tracks;2019-09-04T19:11:01.000Z;Album · 2019;365;23;https://soundcloud.com/user-202102879/sets/el-nino-dragoste-si-pasiune;
• Tom Baker - Ruled By The Machines • Album • OUT NOW •;Stone Seed;View 10 tracks;2023-05-31T06:22:18.000Z;Album · 2023;85;17;https://soundcloud.com/stoneseed_music/sets/rbtm;
GROZA - The Redemptive End (Full Album);AOP Records;View 6 tracks;2021-08-13T19:54:43.000Z;Album · 2021;25;1;https://soundcloud.com/art-of-propaganda/sets/groza-the-redemptive-end-full-album;
ZZ Top's First Album;ZZTopMusic;View 10 tracks;2011-01-11T00:00:00.000Z;Album · 2011;25;1;https://soundcloud.com/zztopmusic/sets/zz-tops-first-album;
Harakiri For The Sky - Maere (Full Album);AOP Records;View 10 tracks;2021-05-12T21:00:24.000Z;Album · 2021;68;2;https://soundcloud.com/art-of-propaganda/sets/harakiri-for-the-sky-maere-full-album;
Top Cat - Return Of The Champion Deejay Album;Serial Killaz;View 16 tracks;2022-08-12T08:14:21.000Z;Album · 2022;88;12;https://soundcloud.com/serialkillaz/sets/top-cat-return-of-the-champion;
EDM 2017 Pop DJ Mix iTunes ALBUM ft Giulia Mihai Issue 28 Electro Tech House;Sexy Electronic Dance Music 2023 EDM Party DJ Mix;View 108 tracks;2016-08-18T20:42:12.000Z;Album · 2016;146;11;https://soundcloud.com/electronic-dance-dj-party/sets/new-album-4-w-dj-mix-issue-28;
Too soo Rip Juice WRLD this all his albums;LiL Juicey J;View 64 tracks;2021-03-22T22:24:43.000Z;Album · 2020;21;1;https://soundcloud.com/marcos-chacon-268850150/sets/too-soo-rip-juice-wrld-this;
Cardi B - Invasion of Privacy [ full rap album ];Hip-Hop;View 15 tracks;2018-12-12T14:19:51.000Z;Album · 2018;123;3;https://soundcloud.com/ckhid/sets/cardi-b-invasion-of-privacy;
Trashcan i hate this album too;SADDE ARCHIVE;View 9 tracks;2021-06-05T12:21:43.000Z;Album · 2021;26;2;https://soundcloud.com/saddearchive/sets/trashcan;
Unlimited (Album) TIP World 2002;Logic Bomb;View 8 tracks;2011-06-21T10:11:34.000Z;Album · 2002;103;5;https://soundcloud.com/logicbomb/sets/unlimited-album;
TOO MANY BOXES (digital audio album mixed and produced by djFuzzBox);FreeAtom;View 9 tracks;2012-12-26T23:45:46.000Z;Album;2;Repost;https://soundcloud.com/freeatom/sets/too-many-boxes-digital-audio;
Chapters x Love Album 2021 Fresh New R&b POP Songs 2021 | New Songs 2021;Woren Webbe Music;View 16 tracks;2019-05-22T14:26:59.000Z;Album · 2020;101;4;https://soundcloud.com/worenwebbe/sets/todays-top-hits-1;
Harakiri for the sky - III:Trauma (Full Album);AOP Records;View 8 tracks;2016-07-19T14:25:55.000Z;Album · 2016;251;33;https://soundcloud.com/art-of-propaganda/sets/harakiri-for-the-sky-iiitrauma-full-album-stream;
Ellende - Ellenbogengesellschaft (Full Album);AOP Records;View 8 tracks;2023-02-08T13:18:46.000Z;Album · 2022;9;Repost;https://soundcloud.com/art-of-propaganda/sets/ellende-ellenbogengesellschaft-full-album;
To The Top (album);FreeAjents;View 11 tracks;2013-03-07T03:33:42.000Z;Album · 2013;4;Repost;https://soundcloud.com/freeajents/sets/to-the-top-album;
Weezy Baby - Pop Star Vol 2 Album;Mamona Muzik;View 17 tracks;2021-06-08T02:50:12.000Z;Album · 2021;47;Repost;https://soundcloud.com/channel-mamona-muzik/sets/weezy-baby-pop-star-vol-2-album;
SHORELINE MAFIA - MAFIA BIDNESS (Full Album)Ohgeesy, Fenix Flexin & Master Kato and Rob Vicious;WORLD STAR HIP HOP;View 19 tracks;2020-07-07T17:09:07.000Z;Album · 2020;259;11;https://soundcloud.com/worldstarhiphopexclusive/sets/shoreline-mafia-mafia-bidness-full-albumohgeesy-fenix-flexin-master-kato-and-rob-vicious;
Harakiri For The Sky - Aokigahara (Full Album);AOP Records;View 9 tracks;2014-04-10T17:16:56.000Z;Album · 2014;175;33;https://soundcloud.com/art-of-propaganda/sets/harakiri-for-the-sky;
Pop Smoke - Faith [2021 ALBUM] [EXTENDED];The Wave Cache;View 37 tracks;2017-08-27T00:38:43.000Z;Album · 2021;519;18;https://soundcloud.com/thewavecache/sets/faith;
Salsoul Remixed - Ultra Records - Top 100 Albums on iTunes Dance Chart/All 4 Songs Top 100 on Traxsource and Beatport House Charts;WhiteNoize;none;2013-02-05T16:49:36.000Z;EP · 2013;96;10;https://soundcloud.com/whitenoize/sets/salsoul-remixed-ultra-records;
Full Hip-Hop & Rap Albums;Will Danner;View 11 tracks;2021-12-31T15:39:53.000Z;Compilation · 2021;8;1;https://soundcloud.com/will-danner/sets/full-hip-hop-rap-albums;
Lil Baby - Street Gossip [ full album stream ];Hip-Hop;View 17 tracks;2018-12-12T14:27:49.000Z;Album · 2018;50;5;https://soundcloud.com/ckhid/sets/lil-baby-street-gossip-full;
Phú Quang Album 10 - Phố Cũ Của Tôi;All Vpop ✪ Nhạc Việt Nam mới nhất;View 12 tracks;2018-12-29T08:46:33.000Z;Album · 2005;24;1;https://soundcloud.com/user-765404763/sets/phuu-quang-album-10;
Rezonant "TIME CODE" Debut Album Samples;Rezonant Sangoma Rec;View 10 tracks;2019-06-22T10:47:45.000Z;Album · 2019;228;46;https://soundcloud.com/rezonantsangoma/sets/rezonant-time-code-debut-album;
InkWell The Album;TopNotch aka " The Kingpin Of The Inkpen ";View 13 tracks;2018-11-11T03:29:48.000Z;Album · 2018;13;3;https://soundcloud.com/rooski-brown/sets/inkwell-the-album-3;
5 Album Set (Aqualung / A Passion Play / Minstrel in the Gallery / Too Old to Rock 'n' Roll / Songs from the Wood);Jethro Tull;View 47 tracks;2012-10-01T00:00:00.000Z;Album · 2012;61;3;https://soundcloud.com/jethrotullmusic/sets/5-album-set-remastered-3;
LordeTheTopScore - Diamonds Are Forever (Exclusive Album);Bounce Out Records;View 12 tracks;2023-03-09T16:44:08.000Z;Album · 2023;81;3;https://soundcloud.com/bounceoutrecord/sets/lordethetopscore-diamonds-are;
Theotoxin - Fragment : Totenruhe (Full Album);AOP Records;View 9 tracks;2023-02-08T13:37:24.000Z;Album · 2022;12;Repost;https://soundcloud.com/art-of-propaganda/sets/theotoxin-fragment-totenruhe-full-album;
