title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
Recopilacion Oldskool Jungle Drum n Bass decada 90;FLY ROOM;none;2018-02-14T10:34:43.000Z;Compilation · 1998;6;1;https://soundcloud.com/user5862729/sets/recopilacion-oldskool-jungle-drum-n-bass-decada-90;
Decada de los 90´s;Tres Sietes;View 11 tracks;2020-09-10T00:00:00.000Z;Album · 2020;Like;Repost;https://soundcloud.com/tressietes/sets/decada-de-los-90-s;
Decada De Los 90´s;Tres Sietes;View 11 tracks;2020-09-15T23:39:13.000Z;Album · 2020;Like;Repost;https://soundcloud.com/tresietes777/sets/decada-de-los-90s;
tom do tom;RRegio DDantas;View 12 tracks;2012-10-23T02:57:02.000Z;Album;Like;Repost;https://soundcloud.com/rregio-ddantas/sets/tom-do-tom;
EP-Igualdade Inexistente;Indynho Psicodelico;none;2013-12-12T21:29:39.000Z;Album;2;Repost;https://soundcloud.com/indynhopsicodelico/sets/ep-igualdade-inexistente;
Mixtape- Me Fortaleço Naquele que Tudo eu Posso;Indynho Psicodelico;View 12 tracks;2013-12-12T21:31:20.000Z;Album;5;Repost;https://soundcloud.com/indynhopsicodelico/sets/mixtape-me-fortale-o-naquele;
Decade of Summer: The 10s;Pitbull;View 58 tracks;2021-05-14T00:00:00.000Z;Album · 2021;245;14;https://soundcloud.com/pitbull/sets/decade-of-summer-the-10s;
The 90s: Decade of Classics;Alice In Chains;View 60 tracks;2023-06-13T00:00:00.000Z;Album · 2023;27;Repost;https://soundcloud.com/alice-in-chains-official/sets/the-90s-decade-of-classics;
6 Decadas - 20 Exitos;Las Jilguerillas;View 20 tracks;2016-04-22T00:00:00.000Z;Album · 2016;46;Repost;https://soundcloud.com/lasjilguerillas/sets/6-decadas-20-exitos;
Sisko Electrofanatik - Decade (10 Years Of Gain) [Collection Album];Gain Records;View 15 tracks;2023-08-07T22:24:19.000Z;Album · 2023;30;7;https://soundcloud.com/gain-records/sets/sisko-electrofanatik-decade-10;
Decade (10 Years Of Gain) Collection Album;Sisko Electrofanatik;View 15 tracks;2023-09-03T22:26:35.000Z;Album · 2023;5;Repost;https://soundcloud.com/siskoelectrofanatik/sets/decade-10-years-of-gain-1;
Decade - 10 Years of Default Recordings - DEF110;Default Recordings;View 10 tracks;2023-09-02T00:18:07.000Z;Album · 2023;7;5;https://soundcloud.com/defaultrecordings/sets/decade-10-years-of-default-recordings-def110;
Enzo Siragusa - A Decade Of Rave Volume 1 [FUSE10LP1];Enzo Siragusa;View 10 tracks;2019-04-25T14:36:16.000Z;Album · 2019;209;27;https://soundcloud.com/enzosiragusa/sets/enzo-siragusa-a-decade-of-rave;
10 - A Decade Of Dubplates;Echo Chamber Sound;View 10 tracks;2023-03-31T00:26:31.000Z;Album · 2023;32;4;https://soundcloud.com/echochambersound/sets/10-a-decade-of-dubplates;
80s The Best Decade;Valkyrie Strike Synth;View 11 tracks;2023-05-10T18:43:52.000Z;Album · 2023;1;Repost;https://soundcloud.com/user-307983745/sets/80s-the-best-decade;
Corridos #1's La Década;Calibre 50;View 15 tracks;2019-05-24T00:00:00.000Z;Album · 2019;39;Repost;https://soundcloud.com/calibre-50-official/sets/corridos-1s-la-decada;
Enzo Siragusa - A Decade Of Rave Volume 2 (FUSE10LP2);FUSE London;View 6 tracks;2019-09-25T16:49:32.000Z;Album · 2019;106;16;https://soundcloud.com/fuselondon/sets/enzo-siragusa-a-decade-of-rave;
INFI10 - A Full DECADE of INFINIT RECORDS;FuGaA;View 9 tracks;2014-11-25T12:15:26.000Z;Album;1;Repost;https://soundcloud.com/fugaa/sets/infi10-a-full-decade-of;
$1 BILLION per decade, $1 MILLION per year, $50K per week...;Byron L. M. Noemdoe;none;2019-02-12T12:30:45.000Z;Compilation · 2019;8;9;https://soundcloud.com/soultronic-sonics/sets/1-billion-per-decade-1-million;
Radio Éxitos. El Disco Del Año. La Década;Calibre 50;View 20 tracks;2019-02-22T00:00:00.000Z;Album · 2019;35;Repost;https://soundcloud.com/calibre-50-official/sets/radio-exitos-el-disco-del-1;
RILISBP10 - Rilis - #BeatportDecade Techno;unri'li:s;View 10 tracks;2014-09-16T17:58:16.000Z;Compilation · 2014;14;Repost;https://soundcloud.com/rilis-records/sets/rilisbp10-rilis-beatportdecade;
Enzo Siragusa - A Decade Of Rave 'Volume 1' (FUSE10LP01);FUSE London;View 10 tracks;2019-04-25T13:53:46.000Z;Album · 2019;130;12;https://soundcloud.com/fuselondon/sets/enzo-siragusa-a-decade-of;
UNRILISBP10 - Unrilis #BeatportDecade - Techno;unri'li:s;View 10 tracks;2014-09-15T08:58:07.000Z;Compilation · 2014;13;1;https://soundcloud.com/rilis-records/sets/unrilis-beatportdecade-techno;
Los Años 80/2;La Decada Prodigiosa;View 8 tracks;2003-02-28T00:00:00.000Z;Album · 2003;1;Repost;https://soundcloud.com/ladecadaprodigiosa/sets/los-anos-80-2;
Los Años 80 Por...;La Decada Prodigiosa;View 8 tracks;2003-02-28T00:00:00.000Z;Album · 2003;Like;1;https://soundcloud.com/ladecadaprodigiosa/sets/los-anos-80-por;
Decade 20;SW Lowery;View 15 tracks;2020-03-17T02:58:06.000Z;Album · 2020;2;Repost;https://soundcloud.com/sw-lowery/sets/decade-20;
