title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
Shoot For The Stars Aim For The Moon (Deluxe);POP SMOKE;View 34 tracks;2020-07-20T00:00:00.000Z;Album · 2020;53.8K;1,882;https://soundcloud.com/biggavelipro/sets/shoot-for-the-stars-aim-for-3;
Meet The Woo 2 (Deluxe);POP SMOKE;View 16 tracks;2020-02-12T00:00:00.000Z;Album · 2020;46.7K;1,652;https://soundcloud.com/biggavelipro/sets/meet-the-woo-2-deluxe;
Soda Pop;ThreeSixNine Label;View 22 tracks;2023-08-02T21:54:07.000Z;Album · 2023;23;21;https://soundcloud.com/threesixninelabel/sets/soda-pop;
DAAM (Deluxe);Chvrsi;View 19 tracks;2023-10-26T11:24:26.000Z;Album · 2023;1,568;23;https://soundcloud.com/chvrsi/sets/daam-deluxe;
Faith;POP SMOKE;View 20 tracks;2021-07-16T00:00:00.000Z;Album · 2021;28K;1,099;https://soundcloud.com/biggavelipro/sets/faith-397872621;
Meet The Woo;POP SMOKE;View 7 tracks;2019-07-26T00:00:00.000Z;Album · 2019;44.9K;1,394;https://soundcloud.com/biggavelipro/sets/meet-the-woo-1;
morgan;Jace! (@iayze);View 11 tracks;2023-08-13T15:51:56.000Z;EP · 2023;3,277;141;https://soundcloud.com/iayzeofficial/sets/morgan;
POP A LOT;𝒊𝒕'𝒔 𝒘𝒆𝒅𝒏𝒆𝒔𝒅𝒂𝒚 𝒔𝒔𝒊𝒃𝒂𝒍 !;View 17 tracks;2023-08-09T09:14:18.000Z;Album · 2023;192;13;https://soundcloud.com/hype892/sets/pop-a-lot;
AUSTIN;Post Malone;View 17 tracks;2023-07-28T00:00:00.000Z;Album · 2023;8,127;279;https://soundcloud.com/postmalone/sets/austin-448881058;
1989 (Taylor's Version) [Deluxe];Taylor Swift;View 22 tracks;2023-10-27T00:00:00.000Z;Album · 2023;459;15;https://soundcloud.com/taylorswiftofficial/sets/1989-taylors-version-deluxe;
AUSTIN (Bonus);Post Malone;View 18 tracks;2023-08-02T00:00:00.000Z;Album · 2023;2,397;89;https://soundcloud.com/postmalone/sets/austin-bonus;
Blonde;blonded;View 17 tracks;2016-08-20T00:00:00.000Z;Album · 2016;39.7K;1,173;https://soundcloud.com/blonded/sets/blonde-159;
?;XXXTENTACION;View 18 tracks;2018-03-16T00:00:00.000Z;Album · 2018;170K;7,997;https://soundcloud.com/jahseh-onfroy/sets/wivksso1eqrh;
GUTS;Olivia Rodrigo;View 12 tracks;2023-09-08T00:00:00.000Z;Album · 2023;2,491;95;https://soundcloud.com/oliviarodrigo/sets/guts-446868466;
1989 (Taylor's Version);Taylor Swift;View 21 tracks;2023-10-27T00:00:00.000Z;Album · 2023;438;22;https://soundcloud.com/taylorswiftofficial/sets/1989-taylors-version-1;
A Love Letter To You 4;Trippie Redd;View 21 tracks;2019-11-22T05:00:23.000Z;Album · 2019;114K;5,359;https://soundcloud.com/trippie-hippie-2/sets/a-love-letter-to-you-4;
RENAISSANCE;Beyoncé;View 16 tracks;2022-07-29T04:00:33.000Z;Album · 2022;17.4K;505;https://soundcloud.com/beyonce/sets/renaissance;
Faith (Deluxe);POP SMOKE;View 30 tracks;2021-07-31T00:00:00.000Z;Album · 2021;6,154;237;https://soundcloud.com/biggavelipro/sets/faith-deluxe-2;
Meet The Woo 2;POP SMOKE;View 13 tracks;2020-02-07T00:00:00.000Z;Album · 2020;40.3K;1,427;https://soundcloud.com/biggavelipro/sets/meet-the-woo-2-1;
Saroor;Arjan Dhillon;View 15 tracks;2023-06-29T00:00:00.000Z;Album · 2023;2,094;27;https://soundcloud.com/arjandhillon-music/sets/saroor-836388252;
Sick Five Manjit Sahota;Unexpected Music;none;2023-11-02T21:00:54.000Z;EP · 2023;Like;Repost;https://soundcloud.com/unexpected_music/sets/sick-five-manjit-sahota;
Limitless - Prem Dhillon (Full Album);Unexpected Music;View 7 tracks;2023-10-24T10:33:07.000Z;Album · 2023;187;9;https://soundcloud.com/unexpected_music/sets/limitless-prem-dhillon-full-album;
80s Dance Music Playlist;The Pop Posse;View 30 tracks;2017-10-10T00:00:00.000Z;Album · 2017;938;24;https://soundcloud.com/thepopposse/sets/80s-dance-music-playlist;
Shoot For The Stars Aim For The Moon;POP SMOKE;View 19 tracks;2020-07-03T00:00:00.000Z;Album · 2020;73.3K;2,688;https://soundcloud.com/biggavelipro/sets/shoot-for-the-stars-aim-for-2;
Walk In Victory (EP) Sabi Bhinder;Unexpected Music;none;2023-10-12T10:57:02.000Z;EP · 2023;342;14;https://soundcloud.com/unexpected_music/sets/walk-in-victory-ep-sabi-bhinder;
Pop Food;jackstauber;View 11 tracks;2017-04-13T12:44:37.000Z;Album · 2017;14.1K;804;https://soundcloud.com/jackstauber/sets/pop-food;
JPEGMAFIA - The Ghost ~ Pop Tape (Remastered);sackman19;View 18 tracks;2023-10-23T21:16:04.000Z;Album · 2023;50;Repost;https://soundcloud.com/sackman19/sets/jpegmafia-the-ghost-pop-tape-remastered;
Directo a ti;Let's POP!;none;2023-06-21T00:00:00.000Z;Album · 2023;1;Repost;https://soundcloud.com/letspop/sets/directo-a-ti-1;
Bad Vibes Forever;XXXTENTACION;View 25 tracks;2019-12-06T00:00:00.000Z;Album · 2019;2,144;35;https://soundcloud.com/jahseh-onfroy/sets/bad-vibes-forever-267761558;
pop smoke;𝐔𝐍𝐑𝐄𝐋𝐄𝐀𝐒𝐄𝐃;View 29 tracks;2020-03-06T00:17:11.000Z;Album · 2011;20.6K;391;https://soundcloud.com/unreleasedv1/sets/pop-smoke-unreleased;
Slut Pop;Kim Petras;View 7 tracks;2022-02-11T00:00:00.000Z;Album · 2022;1,611;61;https://soundcloud.com/kimpetras/sets/slut-pop-1;
Pop Sunda Terbaik Nina, Vol.3;Gasentra Pajampangan;View 10 tracks;2022-10-05T00:00:00.000Z;Album · 2022;80;Repost;https://soundcloud.com/gasentrapajampangan/sets/pop-sunda-terbaik-nina-vol-3;
THE GHOST ~ POP TAPE;dashedsnow;View 25 tracks;2022-11-20T12:38:56.000Z;Album · 2013;473;10;https://soundcloud.com/dashedsnow/sets/the-ghost-pop-tape;
LA NOTTE;ARIETE;View 11 tracks;2023-09-21T00:00:00.000Z;Album · 2023;284;6;https://soundcloud.com/ariete-music/sets/la-notte-306159683;
(hart Adderall) Album 1;Yung Addy pop2addys;View 10 tracks;2022-04-05T16:10:39.000Z;EP · 2022;12;5;https://soundcloud.com/hart444/sets/hart-be4t;
(hart Adderall) Album 2;Yung Addy pop2addys;View 13 tracks;2022-07-22T14:49:26.000Z;EP · 2022;5;4;https://soundcloud.com/hart444/sets/kaitin-gay-hart-stopped;
F*CK LOVE 3+: OVER YOU;The Kid LAROI.;View 35 tracks;2021-07-27T00:00:00.000Z;Album · 2021;9,148;408;https://soundcloud.com/thekidlaroi/sets/f-ck-love-3-over-you-1;
WEEDKILLER;Ashnikko;View 13 tracks;2023-08-25T00:00:00.000Z;Album · 2023;1,058;53;https://soundcloud.com/ashnikko/sets/weedkiller-2;
High Concept;salem ilese;View 12 tracks;2023-09-15T00:00:00.000Z;Album · 2023;967;25;https://soundcloud.com/salemilese/sets/high-concept-2;
F*CK LOVE 3: OVER YOU;The Kid LAROI.;View 29 tracks;2021-07-23T00:00:00.000Z;Album · 2021;14.6K;615;https://soundcloud.com/thekidlaroi/sets/f-ck-love-3-over-you;
Silence Between Songs;Madison Beer;View 14 tracks;2023-09-15T00:00:00.000Z;Album · 2023;609;24;https://soundcloud.com/madisonbeer/sets/silence-between-songs;
Something To Give Each Other;Troye Sivan;View 10 tracks;2023-10-13T00:00:00.000Z;Album · 2023;390;14;https://soundcloud.com/troye-sivan/sets/something-to-give-each-other-1;
to hell with it;pinkpantheress;View 10 tracks;2021-10-15T00:00:00.000Z;Album · 2021;11.8K;546;https://soundcloud.com/pinkpantheress/sets/to-hell-with-it-1;
TrapStar Turnt PopStar (Deluxe Edition);PnB Rock;View 23 tracks;2019-05-03T00:00:00.000Z;Album · 2019;3,387;97;https://soundcloud.com/pnbrock/sets/trapstar-turnt-popstar-2;
Sunrise;Roger Hooijenga;none;2023-09-14T14:46:45.000Z;Album · 2023;96;Repost;https://soundcloud.com/user-836627196/sets/sunrise;
Album Pop Sunda Darso "Cang Cing Cong";Bandung Music Official;View 10 tracks;2018-03-01T17:16:24.000Z;Album · 2008;554;29;https://soundcloud.com/bandungmusicofficial/sets/album-pop-sunda-darso-cang;
Limitless Love;Alexboi0921;none;2023-09-10T15:00:31.000Z;Album · 2023;136;Repost;https://soundcloud.com/alexboi0921/sets/limitless-love;
Passionate Sun;Mismosolia129;none;2023-09-10T15:10:40.000Z;Album · 2023;97;Repost;https://soundcloud.com/mismosolia129/sets/passionate-sun;
tomboyish love for soda pop and apple sweets;goreshit;View 28 tracks;2019-01-19T02:05:22.000Z;Album · 2015;1,067;53;https://soundcloud.com/goreshit/sets/tomboyish-love-for-soda-pop-and-apple-sweets;
احمد سعد - اختياراتي 2023;البوم عمرو دياب عيشني - انت الحظ Amr Diab 2021 ✪;none;2023-07-02T03:25:35.000Z;Album · 2023;2,454;60;https://soundcloud.com/golden-music-awards/sets/2023-481777734ad;
Muse;Ren Dertin;none;2023-04-19T00:00:00.000Z;Album · 2023;246;Repost;https://soundcloud.com/rendertin/sets/muse-821101661;
