title_album;artist_album;tracks_album;time_posted;any_album;likes;repost;url_album;
80's Rock&Pop en español;L'heureux;View 59 tracks;2021-03-24T17:28:16.000Z;Album · 1989;75;2;https://soundcloud.com/elisamaybe/sets/rock-pop-en-espanol;
Grandes Éxitos del Pop Español de los 70's 80's y 90's (Top 100);Magic Pop Band;View 100 tracks;2014-12-03T00:00:00.000Z;Album · 2014;40;4;https://soundcloud.com/magicpopband/sets/grandes-exitos-del-pop-espanol;
Musica Para Viajar Con Ñ De España;La Banda Del Pop Español;View 20 tracks;2011-07-15T00:00:00.000Z;Album · 2011;1;Repost;https://soundcloud.com/labandadelpopespanol/sets/musica-para-viajar-con-n-de;
Enchufao!! Canciones de Rock, Blues, Pop, Rhythm & Blues, Soul y Country-Rock Español;Basilio Montes;View 17 tracks;2022-04-07T17:56:06.000Z;Album · 2022;8;Repost;https://soundcloud.com/basilio-montes/sets/enchufao;
La Época de la Movida Madrileña en España. Canciones de la Década de Oro del Pop Español; 100 Éxitos de la Música Española;Fiesta Pop;View 100 tracks;2015-01-08T00:00:00.000Z;Album · 2015;25;Repost;https://soundcloud.com/fiestapop/sets/la-epoca-de-la-movida;
Éxitos del Pop Español de los Años 70;Camilo Sesto;View 59 tracks;2021-11-05T00:00:00.000Z;Album · 2021;16;Repost;https://soundcloud.com/camilo-sesto-official/sets/exitos-del-pop-espanol-de-los;
Pop Español 2019;Amaral;View 29 tracks;2020-01-03T00:00:00.000Z;Album · 2020;10;1;https://soundcloud.com/amaral-official/sets/pop-espanol-2019-258842334;
20 Mejores Del Pop Español Vol.4;Los Pekenikes;View 20 tracks;2005-01-01T00:00:00.000Z;Album · 2005;1;Repost;https://soundcloud.com/lospekenikes/sets/20-mejores-del-pop-espanol-vol;
Kingdom Brothers " I ";Kingdom Brothers;View 14 tracks;2023-10-01T10:36:45.000Z;Album · 2000;2;Repost;https://soundcloud.com/kingdom-brothers-853974170/sets/kingdom-brothers-i;
Las Cosas Van a Cambiar. Discos de Grupos de Pop Rock Español Actual Año 2023;TÓTEM;View 7 tracks;2022-12-20T16:59:59.000Z;Album · 2022;1;Repost;https://soundcloud.com/totemoficial/sets/las-cosas-van-a-cambiar;
Unplugged Naked Songs. Baladas de Rock Acústico Español y Música Pop Actual;Basilio Montes;View 23 tracks;2022-03-17T13:56:01.000Z;Album · 2022;Like;Repost;https://soundcloud.com/basilio-montes/sets/unplugged-naked-songs;
BUSCANDO HÉROES- LA SEÑAL DE FLINT;LA SEÑAL DE FLINT;View 10 tracks;2014-11-11T23:46:10.000Z;Album;2;Repost;https://soundcloud.com/lasenaldeflint/sets/buscando-heroes-la-senal-de-flint;
VERSIONES DE LA MOVIDA;Slod;View 15 tracks;2023-07-23T10:18:49.000Z;Album · 2023;Like;Repost;https://soundcloud.com/slod-363759949/sets/versiones-de-la-movida;
Chill & Pop Español;Jjos;View 12 tracks;2012-12-04T00:00:00.000Z;Album · 2012;1;Repost;https://soundcloud.com/jjosofficial/sets/chill-pop-espanol;
Tecno Pop Español;Moldavia;View 12 tracks;2010-03-20T00:00:00.000Z;Album · 2010;Like;Repost;https://soundcloud.com/moldavia-music/sets/tecno-pop-espanol;
EL MEJOR POP ESPAÑOL;Victor M. Názara;View 8 tracks;2016-06-28T22:01:28.000Z;Album · 2016;3;1;https://soundcloud.com/victor-m-nazara-304674687/sets/el-mejor-pop-espanol;
Segunda Maqueta;TÓTEM;View 6 tracks;2016-03-30T18:33:36.000Z;EP · 1982;1;Repost;https://soundcloud.com/totemoficial/sets/2-maqueta;
CORTES DE AMOR;Espliego;View 14 tracks;2020-07-16T18:00:42.000Z;Album · 2020;5;Repost;https://soundcloud.com/espliegooficial/sets/cortes-de-amor;
AMULETO DE ESTRELLAS;Espliego;View 17 tracks;2020-07-15T18:20:59.000Z;Album · 2020;2;Repost;https://soundcloud.com/espliegooficial/sets/amuleto-de-estrellas;
Exitos Pop Español 2022;Pole;View 32 tracks;2022-12-16T00:00:00.000Z;Album · 2022;3;Repost;https://soundcloud.com/pole-official/sets/exitos-pop-espanol-2022;
Pop Español;desafinados4-1;View 6 tracks;2012-03-15T11:10:16.000Z;Album;2;Repost;https://soundcloud.com/desafinados4-1/sets/pop-espa-ol;
CON EL TALLO DE UN LIRIO;Espliego;none;2020-07-15T12:54:52.000Z;Album · 2020;Like;Repost;https://soundcloud.com/espliegooficial/sets/con-el-tallo-de-un-lirio;
Room Covers;Vinni Rose;none;2020-06-05T12:02:33.000Z;Album · 2020;Like;Repost;https://soundcloud.com/vinnirose/sets/room-covers;
Grabaciones 1989 - 90;Las Ardillas de Dakota;View 9 tracks;2014-11-05T20:34:03.000Z;Album · 1989;4;4;https://soundcloud.com/lasardillasdedakota/sets/grabaciones-1989-90;
SAL Y SOL;The Refrescos;View 12 tracks;2016-10-20T10:50:21.000Z;Album · 2014;5;Repost;https://soundcloud.com/therefrescos/sets/sal-y-sol;
Posmodernia;Las Ardillas de Dakota;View 6 tracks;2020-09-09T13:18:59.000Z;Album · 2020;2;Repost;https://soundcloud.com/lasardillasdedakota/sets/posmodernia;
Sexy Selfies;Vinni Rose;View 7 tracks;2019-11-16T19:28:27.000Z;EP · 2019;1;Repost;https://soundcloud.com/vinnirose/sets/sexy-selfies;
Brighton;Vinni Rose;none;2020-04-26T15:35:22.000Z;Album · 2020;1;Repost;https://soundcloud.com/vinnirose/sets/brighton;
Cruce de Caminos;Las Ardillas de Dakota;View 10 tracks;2014-11-05T19:54:06.000Z;Album · 1995;3;1;https://soundcloud.com/lasardillasdedakota/sets/cruce-de-caminos;
Por Cualquier Razón;Las Ardillas de Dakota;View 10 tracks;2014-11-06T03:26:06.000Z;Album · 2014;6;4;https://soundcloud.com/lasardillasdedakota/sets/por-cualquier-razon;
El libro de Juan Alcaide;Espliego;View 10 tracks;2020-07-15T17:38:25.000Z;Album · 2020;2;Repost;https://soundcloud.com/espliegooficial/sets/el-libro-de-juan-alcaide;
Desde Mis Aceras;Vinni Rose;none;2020-01-03T16:21:50.000Z;Album · 2019;2;Repost;https://soundcloud.com/vinnirose/sets/desde-mis-aceras;
Como Ayer;Las Ardillas de Dakota;View 13 tracks;2014-11-05T19:09:51.000Z;Album · 2012;3;1;https://soundcloud.com/lasardillasdedakota/sets/como-ayer;
SAL Y SOL (Edición México);The Refrescos;View 13 tracks;2016-10-21T19:35:12.000Z;Album · 2015;10;Repost;https://soundcloud.com/therefrescos/sets/sal-y-sol-edicion-mexico;
Cruce de Caminos (Edicion Especial 25º Aniversario);Las Ardillas de Dakota;View 13 tracks;2020-02-12T12:08:47.000Z;Album · 2020;Like;Repost;https://soundcloud.com/lasardillasdedakota/sets/cruce-de-caminos-edicion-especial;
LA ROSA DEL PECADO;Espliego;View 12 tracks;2020-07-16T18:56:04.000Z;Album · 2020;3;Repost;https://soundcloud.com/espliegooficial/sets/la-rosa-del-pecado;
Las Ardillas de Dakota Collection;Las Ardillas de Dakota;View 42 tracks;2016-12-28T13:37:33.000Z;Compilation · 2016;2;Repost;https://soundcloud.com/lasardillasdedakota/sets/las-ardillas-de-dakota-collection;
Alegría Social (The Gambas);The Refrescos;View 13 tracks;2016-10-22T11:04:12.000Z;Album · 2009;8;Repost;https://soundcloud.com/therefrescos/sets/alegria-social-the-gambas;
Volver a Empezar;Las Ardillas de Dakota;View 12 tracks;2017-09-28T17:14:51.000Z;Album · 2017;3;Repost;https://soundcloud.com/lasardillasdedakota/sets/volveraempezar;
Pop Español;Los De La Movida;View 16 tracks;2011-07-01T00:00:00.000Z;Album · 2011;1;Repost;https://soundcloud.com/losdelamovida/sets/pop-espanol;
Leyendas Del Pop Rock Español Vol.7;Los Gatos Negros;View 24 tracks;2009-01-01T00:00:00.000Z;Album · 2009;1;Repost;https://soundcloud.com/losgatosnegrosofficial/sets/leyendas-del-pop-rock-espanol;
Pop Español;Grupo Graná;View 25 tracks;2011-09-28T00:00:00.000Z;Album · 2011;3;Repost;https://soundcloud.com/grupograna/sets/pop-espanol;
Leyendas Del Pop Rock Español Vol.6;Los Jóvenes;View 24 tracks;2009-01-01T00:00:00.000Z;Album · 2009;Like;Repost;https://soundcloud.com/losjovenes/sets/leyendas-del-pop-rock-espanol;
100% Pop Rock en Español;ETCÉTERA;View 20 tracks;2019-09-30T00:00:00.000Z;Album · 2019;Like;Repost;https://soundcloud.com/etcetera-scmusic/sets/100-pop-rock-en-espanol;
Pop - En Español;Ramon;View 16 tracks;2010-10-08T00:00:00.000Z;Album · 2010;Like;Repost;https://soundcloud.com/ramon73948/sets/pop-en-espanol;
Pop 90's En Español;Ana Belén;View 50 tracks;2018-07-13T00:00:00.000Z;Album · 2018;13;Repost;https://soundcloud.com/ana-belen-official/sets/pop-90s-en-espanol;
Secretos con Sentido. Grandes Éxitos del Pop Español Compuestos por Enrique Urquijo;Basilio Montes;View 7 tracks;2022-03-09T17:19:24.000Z;Album · 2022;1;Repost;https://soundcloud.com/basilio-montes/sets/secretos-con-sentido;
Pop Espanol De Los 60;Los Relampagos;View 20 tracks;1999-01-04T00:00:00.000Z;Album · 1999;2;1;https://soundcloud.com/losrelampagos/sets/pop-espanol-de-los-60;
Todo Pop Español;Grupo Espop;View 22 tracks;2011-09-29T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/grupoespop/sets/todo-pop-espanol;
Todo Pop Español Con Ñ;Native Stars;View 18 tracks;2011-06-27T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/nativestars-music/sets/todo-pop-espanol-con-n;
Lo Mejor Del Pop Español;La Banda Pachanga;View 19 tracks;2011-05-17T00:00:00.000Z;Album · 2011;1;Repost;https://soundcloud.com/labandapachanga/sets/lo-mejor-del-pop-espanol;
mecano;juliusp9;none;2013-05-03T01:54:07.000Z;Album;15;4;https://soundcloud.com/juliusp9/sets/mecano;
Auténtico;boskobeuk;View 17 tracks;2022-10-24T23:24:49.000Z;Album · 2022;Like;Repost;https://soundcloud.com/boskobeuk/sets/autentico;
Perdido_EP_Tr3ce;Tr3ce;View 6 tracks;2012-03-08T10:08:18.000Z;EP;Like;Repost;https://soundcloud.com/tr3ce/sets/perdido_ep_tr3ce;
/sol/;DUAL;none;2020-02-26T09:21:22.000Z;EP · 2020;Like;Repost;https://soundcloud.com/holasomosdual/sets/sol;
DAVID NAVARRO BEL;david_navarro;View 6 tracks;2013-05-29T09:22:04.000Z;Album;Like;Repost;https://soundcloud.com/david_navarro/sets/david-navarro-bel;
Pegaíto;Azucar Moreno;none;2015-06-26T00:00:00.000Z;Album · 2015;4;Repost;https://soundcloud.com/azucar-moreno-official/sets/pegaito-1;
The instrumental about: WHO CARES?;Xamy;none;2019-07-10T06:07:32.000Z;EP · 2019;Like;Repost;https://soundcloud.com/xamitl-yael/sets/the-instrumental-about-who-cares;
Libro Nuevo;alvaro.esteban;View 18 tracks;2015-03-10T09:35:05.000Z;Album;1;Repost;https://soundcloud.com/alvaro-esteban-oliver/sets/libro-nuevo;
TPAR 2018;TPAR;none;2018-03-02T15:34:21.000Z;Album · 2018;1;1;https://soundcloud.com/user-928003788/sets/tpar-2018;
Naya Sian - EP -Latin/Rock en Espanol/Pop;Aloure Music;none;2015-05-19T00:24:59.000Z;EP;4;Repost;https://soundcloud.com/aloure-music/sets/naya-sian;
SA091_POP 2000;SaraoMusic;View 12 tracks;2020-02-21T11:01:36.000Z;Album · 2020;Like;Repost;https://soundcloud.com/saraomusic/sets/sa091_pop-2000;
repertorio pop en español;Victor Manuel Carpio;none;2013-05-25T23:05:46.000Z;Compilation;2;Repost;https://soundcloud.com/victor-manuel-garcia-carpio/sets/repertorio-pop-en-espa-ol;
Lo Mejor De La Edad De Oro Del Pop Espanol;Los Elegantes;View 15 tracks;2001-11-19T00:00:00.000Z;Album · 2001;Like;Repost;https://soundcloud.com/loselegantesofficial/sets/lo-mejor-de-la-edad-de-oro;
Lo Mejor De La Edad De Oro Del Pop Espanol;Moris;View 15 tracks;2001-11-19T00:00:00.000Z;Album · 2001;1;Repost;https://soundcloud.com/moris-official/sets/lo-mejor-de-la-edad-de-oro-del;
José Guardiola. Historia del Pop Español;Jose Guardiola;View 14 tracks;1985-05-19T00:00:00.000Z;Album · 1985;Like;Repost;https://soundcloud.com/joseguardiolaofficial/sets/jose-guardiola-historia-del;
Historia Sinfónica del Pop Español por García Caffi;Orquestra Simfònica de Barcelona i Nacional de Cat;View 10 tracks;2002-11-15T00:00:00.000Z;Album · 2002;Like;Repost;https://soundcloud.com/orquestrasimfonicadebarcelonainacionaldecatalunya-music/sets/historia-sinfonica-del-pop;
Covers Acústicos del Pop Español, Vol. 2;Los Acústicos;View 15 tracks;2023-08-11T00:00:00.000Z;Album · 2023;Like;Repost;https://soundcloud.com/losacusticos/sets/covers-acusticos-del-pop-1;
Las Mejores Decadas Del Pop Español;Los De La Decada;View 50 tracks;2011-03-15T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/losdeladecada/sets/las-mejores-decadas-del-pop;
Covers Acústicos del Pop Español;Los Acústicos;View 15 tracks;2022-06-03T00:00:00.000Z;Album · 2022;Like;Repost;https://soundcloud.com/losacusticos/sets/covers-acusticos-del-pop;
Pop Español Las 50 Mejores Canciones;La Banda Del Pop;View 50 tracks;2011-02-01T00:00:00.000Z;Album · 2011;1;Repost;https://soundcloud.com/labandadelpop/sets/pop-espanol-las-50-mejores;
Pop Español Vol.2;Arranque Pop;View 20 tracks;2011-10-05T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/arranquepop/sets/pop-espanol-vol-2;
Pop Español Vol.1;Arranque Pop;View 19 tracks;2011-10-05T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/arranquepop/sets/pop-espanol-vol-1;
Grabación Revelación;Revelacionband;View 8 tracks;2012-03-02T07:26:11.000Z;Album;1;1;https://soundcloud.com/revelacionband/sets/grabacion-revelacion;
Azu&Dari Dúo Instrumental;Azu&Dari Dúo Instrumental;View 10 tracks;2020-02-26T09:18:32.000Z;Album · 2020;1;Repost;https://soundcloud.com/dari-norbert/sets/azu-dari-duo-instrumental;
Cenachero;Javier Gall;View 9 tracks;2018-10-08T07:07:26.000Z;Compilation · 2018;Like;Repost;https://soundcloud.com/javiergall/sets/cenachero;
Tiempos Salvajes (Óscar Sanz);oscar sanz;View 11 tracks;2020-06-02T13:18:56.000Z;Album · 2020;1;Repost;https://soundcloud.com/oscarsanz/sets/tiempos-salvajes-1;
Alborotador Gomasio - Luz y Resistencia;LimboStarr;none;2018-07-04T11:48:36.000Z;Album · 2018;Like;Repost;https://soundcloud.com/limbostarr/sets/alborotador-gomasio-luz-y;
Karaokes Pop Español;Banda Pop De Karaoke;View 20 tracks;2011-02-10T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/bandapopdekaraoke/sets/karaokes-pop-espanol;
Rock & Pop en español;Rock Pop Todos Tiempos;none;2013-03-18T04:32:06.000Z;Compilation;23;2;https://soundcloud.com/rock-pop-todos-los-tiempos/sets/rock-pop-en-espa-ol;
K-Pop en español;Lia Olmu;View 39 tracks;2014-10-26T05:50:52.000Z;Compilation · 2012;4;Repost;https://soundcloud.com/liaolmu/sets/lia-music-factory;
Historia Sinfónica del Pop Español por García Caffi;Orquestra Simfònica de Barcelona i Nacional de Cat;View 10 tracks;2002-11-15T00:00:00.000Z;Album · 2002;Like;Repost;https://soundcloud.com/orquestrasimfonicadebarcelonainacionaldecatalunya-music/sets/historia-sinfonica-del-pop;
Covers Acústicos del Pop Español, Vol. 2;Los Acústicos;View 15 tracks;2023-08-11T00:00:00.000Z;Album · 2023;Like;Repost;https://soundcloud.com/losacusticos/sets/covers-acusticos-del-pop-1;
Las Mejores Decadas Del Pop Español;Los De La Decada;View 50 tracks;2011-03-15T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/losdeladecada/sets/las-mejores-decadas-del-pop;
Covers Acústicos del Pop Español;Los Acústicos;View 15 tracks;2022-06-03T00:00:00.000Z;Album · 2022;Like;Repost;https://soundcloud.com/losacusticos/sets/covers-acusticos-del-pop;
Pop Español Las 50 Mejores Canciones;La Banda Del Pop;View 50 tracks;2011-02-01T00:00:00.000Z;Album · 2011;1;Repost;https://soundcloud.com/labandadelpop/sets/pop-espanol-las-50-mejores;
Pop Español Vol.2;Arranque Pop;View 20 tracks;2011-10-05T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/arranquepop/sets/pop-espanol-vol-2;
Pop Español Vol.1;Arranque Pop;View 19 tracks;2011-10-05T00:00:00.000Z;Album · 2011;Like;Repost;https://soundcloud.com/arranquepop/sets/pop-espanol-vol-1;
Grabación Revelación;Revelacionband;View 8 tracks;2012-03-02T07:26:11.000Z;Album;1;1;https://soundcloud.com/revelacionband/sets/grabacion-revelacion;
Azu&Dari Dúo Instrumental;Azu&Dari Dúo Instrumental;View 10 tracks;2020-02-26T09:18:32.000Z;Album · 2020;1;Repost;https://soundcloud.com/dari-norbert/sets/azu-dari-duo-instrumental;
